time_seconds,speed_meters_per_second,grade
0,0,0
1,0,0
2,0,0
3,0.894094506,0
4,2.190531539,0
5,3.621082748,0
6,5.051633958,0
7,6.482185167,0
8,7.733917475,0
9,8.762126157,0
10,9.745630113,0
11,10.72913407,0
12,11.53381912,0
13,12.11498055,0
14,12.51732308,0
15,12.96437033,0
16,13.41141759,0
17,13.72435066,0
18,14.08198847,0
19,14.39492154,0
20,14.70785462,0
21,14.97608297,0
22,15.24431132,0
23,15.46783495,0
24,15.60194913,0
25,15.69135858,0
26,15.95958693,0
27,16.04899638,0
28,16.00429165,0
29,15.78076803,0
30,15.60194913,0
31,15.42313022,0
32,15.46783495,0
33,15.5572444,0
34,15.69135858,0
35,15.95958693,0
36,16.13840583,0
37,16.18311055,0
38,16.31722473,0
39,16.40663418,0
40,16.49604363,0
41,16.54074836,0
42,16.54074836,0
43,16.54074836,0
44,16.54074836,0
45,16.54074836,0
46,16.54074836,0
47,16.58545308,0
48,16.67486253,0
49,16.89838616,0
50,17.25602396,0
51,17.56895704,0
52,17.88189012,0
53,18.19482319,0
54,18.50775627,0
55,18.86539407,0
56,19.17832715,0
57,19.4465555,0
58,19.67007913,0
59,19.8041933,0
60,19.89360275,0
61,20.02771693,0
62,20.07242165,0
63,20.11712638,0
64,20.16183111,0
65,20.29594528,0
66,20.43005946,0
67,20.56417363,0
68,20.69828781,0
69,20.78769726,0
70,20.92181144,0
71,20.96651616,0
72,21.01122089,0
73,21.05592561,0
74,21.10063034,0
75,21.14533506,0
76,21.10063034,0
77,21.05592561,0
78,21.01122089,0
79,20.96651616,0
80,20.96651616,0
81,20.96651616,0
82,21.01122089,0
83,21.05592561,0
84,21.05592561,0
85,21.10063034,0
86,21.05592561,0
87,21.01122089,0
88,20.96651616,0
89,20.78769726,0
90,20.69828781,0
91,20.65358308,0
92,20.69828781,0
93,20.78769726,0
94,20.96651616,0
95,21.05592561,0
96,21.19003979,0
97,21.32415396,0
98,21.45826814,0
99,21.54767759,0
100,21.68179177,0
101,21.81590594,0
102,21.95002012,0
103,21.99472484,0
104,21.95002012,0
105,21.95002012,0
106,21.90531539,0
107,21.90531539,0
108,21.95002012,0
109,21.99472484,0
110,22.03942957,0
111,22.08413429,0
112,22.12883902,0
113,22.12883902,0
114,22.12883902,0
115,22.08413429,0
116,21.95002012,0
117,21.86061067,0
118,21.72649649,0
119,21.63708704,0
120,21.50297286,0
121,21.32415396,0
122,21.19003979,0
123,21.14533506,0
124,21.23474451,0
125,21.36885869,0
126,21.41356341,0
127,21.45826814,0
128,21.41356341,0
129,21.41356341,0
130,21.41356341,0
131,21.45826814,0
132,21.45826814,0
133,21.45826814,0
134,21.41356341,0
135,21.14533506,0
136,20.56417363,0
137,19.35714605,0
138,18.41834682,0
139,17.65836649,0
140,17.52425231,0
141,17.43484286,0
142,17.43484286,0
143,17.47954759,0
144,17.65836649,0
145,17.92659484,0
146,18.32893737,0
147,18.77598462,0
148,19.2677366,0
149,19.53596495,0
150,19.71478385,0
151,19.8041933,0
152,19.84889803,0
153,19.93830748,0
154,19.9830122,0
155,20.07242165,0
156,20.20653583,0
157,20.43005946,0
158,20.51946891,0
159,20.69828781,0
160,20.92181144,0
161,20.96651616,0
162,21.01122089,0
163,21.05592561,0
164,21.27944924,0
165,21.41356341,0
166,21.45826814,0
167,21.45826814,0
168,21.41356341,0
169,21.36885869,0
170,21.14533506,0
171,20.87710671,0
172,20.65358308,0
173,20.51946891,0
174,20.43005946,0
175,20.34065001,0
176,20.29594528,0
177,20.25124056,0
178,20.11712638,0
179,19.67007913,0
180,19.2677366,0
181,18.86539407,0
182,18.552461,0
183,18.552461,0
184,18.82068935,0
185,19.17832715,0
186,19.4465555,0
187,19.6253744,0
188,19.49126023,0
189,19.35714605,0
190,19.22303187,0
191,19.2677366,0
192,19.40185078,0
193,19.6253744,0
194,19.8041933,0
195,19.93830748,0
196,20.07242165,0
197,20.02771693,0
198,19.84889803,0
199,19.6253744,0
200,19.40185078,0
201,19.31244133,0
202,19.31244133,0
203,19.2677366,0
204,19.22303187,0
205,19.22303187,0
206,19.2677366,0
207,19.40185078,0
208,19.6253744,0
209,19.67007913,0
210,19.4465555,0
211,19.04421297,0
212,18.552461,0
213,18.19482319,0
214,17.88189012,0
215,17.88189012,0
216,18.01600429,0
217,18.32893737,0
218,18.77598462,0
219,19.0889177,0
220,19.2677366,0
221,19.31244133,0
222,19.40185078,0
223,19.6253744,0
224,19.8041933,0
225,19.9830122,0
226,20.16183111,0
227,20.29594528,0
228,20.47476418,0
229,20.78769726,0
230,20.96651616,0
231,21.10063034,0
232,21.19003979,0
233,21.14533506,0
234,21.14533506,0
235,21.10063034,0
236,21.10063034,0
237,21.10063034,0
238,21.05592561,0
239,21.01122089,0
240,21.01122089,0
241,20.96651616,0
242,20.92181144,0
243,20.96651616,0
244,21.01122089,0
245,21.10063034,0
246,21.23474451,0
247,21.41356341,0
248,21.45826814,0
249,21.45826814,0
250,21.45826814,0
251,21.45826814,0
252,21.45826814,0
253,21.50297286,0
254,21.54767759,0
255,21.54767759,0
256,21.50297286,0
257,21.72649649,0
258,21.86061067,0
259,21.95002012,0
260,21.95002012,0
261,21.95002012,0
262,21.95002012,0
263,21.95002012,0
264,21.90531539,0
265,21.86061067,0
266,21.54767759,0
267,21.32415396,0
268,21.23474451,0
269,21.10063034,0
270,20.87710671,0
271,20.65358308,0
272,20.56417363,0
273,20.47476418,0
274,20.38535473,0
275,20.29594528,0
276,20.20653583,0
277,20.11712638,0
278,19.9830122,0
279,19.89360275,0
280,19.75948858,0
281,19.4465555,0
282,19.13362242,0
283,18.77598462,0
284,17.92659484,0
285,17.25602396,0
286,16.76427198,0
287,16.00429165,0
288,15.51253968,0
289,15.1996066,0
290,14.88667352,0
291,14.52903572,0
292,14.17139792,0
293,13.67964594,0
294,13.23259869,0
295,12.87496088,0
296,12.69614198,0
297,12.78555143,0
298,13.18789396,0
299,14.03728374,0
300,14.93137825,0
301,15.9148822,0
302,16.76427198,0
303,17.47954759,0
304,17.97129957,0
305,18.37364209,0
306,18.68657517,0
307,18.95480352,0
308,19.13362242,0
309,19.35714605,0
310,19.58066968,0
311,19.8041933,0
312,19.9830122,0
313,20.11712638,0
314,20.20653583,0
315,20.29594528,0
316,20.34065001,0
317,20.47476418,0
318,20.56417363,0
319,20.60887836,0
320,20.78769726,0
321,20.92181144,0
322,21.05592561,0
323,21.32415396,0
324,21.59238231,0
325,21.90531539,0
326,22.21824847,0
327,22.48647682,0
328,22.7994099,0
329,23.11234297,0
330,23.42527605,0
331,23.73820913,0
332,24.05114221,0
333,24.36407528,0
334,24.67700836,0
335,24.94523671,0
336,25.21346506,0
337,25.43698869,0
338,25.48169341,0
339,25.52639814,0
340,25.61580759,0
341,25.74992177,0
342,25.83933122,0
